class,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle
good_form,153.84200247600535,163.59121965878683,168.5489031440034,167.3369716140195
good_form,152.1909944324086,162.51486837837675,168.1540508898088,168.3815818211265
good_form,151.12595095251586,160.5280992077286,167.4414769959045,168.00127801240026
good_form,149.99056795125415,158.90967126115473,168.34030101345604,169.34352533217879
good_form,147.51990327603204,156.7366970986887,167.84719006067033,169.14375454375036
good_form,145.14449520194876,153.68174130581693,168.173450693006,169.73272350919075
good_form,143.65674493067021,152.0068391664072,169.39971781717819,171.40220010511075
good_form,141.81969906340697,150.3643235602231,170.46898061696535,172.06654735645114
good_form,139.30629248444976,148.46832714139177,169.09140170797946,171.7541552068576
good_form,136.23105823594554,145.69274890905166,169.30401906218228,171.08219203632618
good_form,133.24156317048053,142.86305084046728,170.44791937342117,171.92377550642973
good_form,129.79011741110108,137.31566813403936,172.8933002198367,174.18854348170183
good_form,127.76004297427653,134.75237390705047,175.86185707050763,175.6733177998619
good_form,126.13550228044552,133.09964191635225,176.84255855491213,177.34774505327894
good_form,124.57772416073703,130.2894220071853,178.5139962459189,178.85940702140329
good_form,121.69661506810962,126.3644335155408,179.29275675356058,179.08062892483238
good_form,120.90111842535238,123.96085056213546,179.99253519980252,178.54516213660543
good_form,119.10593356711989,122.28016468484905,179.0347198294745,176.8834247712017
good_form,116.89859987653163,119.50519494159029,178.5907345138684,177.11935104407297
good_form,114.61293621115769,116.46106332892194,178.1239379428941,177.20616954655057
good_form,112.23514021696943,112.93015407199378,178.28420632775425,177.397029833373
good_form,107.50316300901116,109.91508867001883,179.33080944211108,178.1512937144704
good_form,103.53050173549212,106.09705458616091,178.90703300246437,176.9199839944625
good_form,97.65164171011196,98.84993799756661,178.87498967739015,177.41301688041216
good_form,94.9148125507306,91.3880278758945,175.7614582440727,176.2200861341311
good_form,92.00336512112058,86.87466275268984,175.34053938936472,175.74339753361417
good_form,88.77350875245884,86.89138602701195,176.07288286856402,175.15140548589554
good_form,88.28924086011638,86.73103869670827,176.11503852013084,174.3904847786854
good_form,87.33436564914209,85.00155860924521,176.52359291614897,174.91362201142286
good_form,86.62849089798502,84.4297334232173,175.83714402016506,174.29969327589967
good_form,87.16806718673362,84.27109000650688,176.58591773976804,173.39382811025422
good_form,86.39450902617848,83.10902994321839,176.70701917292013,172.31518504093324
good_form,85.48933829640406,84.1723371895483,177.14360082508188,172.56773615600721
good_form,88.65022575487167,84.44500261239514,177.66005854994685,172.4950039014048
good_form,89.55635180965209,84.77280091430346,177.91695303053436,173.13241453906662
good_form,89.89065547002305,84.86398293167143,178.00508254197496,173.62766859902985
good_form,89.47976861439274,85.72827134332871,178.11847452211205,173.98474304331316
good_form,89.98767992979201,87.0110655386682,178.66022189204665,174.73434937204144
good_form,91.90869224314353,88.91043186878639,178.97797807131985,176.52798384221305
good_form,93.38946657136684,91.46012871902505,179.8263898950205,178.3253543918697
good_form,96.31692089046881,95.02916341358775,178.62556999804798,179.62530964102473
good_form,100.13713044296121,97.69244033820912,178.97549423243217,179.9115716735409
good_form,101.90405832719853,103.71168211977756,179.65242063619448,178.99766189825058
good_form,104.38181264704244,106.94817527384684,176.64058583456324,178.69778198543068
good_form,107.81860950524525,110.21175400747741,176.32274930244665,178.15123471384453
good_form,110.36035858159536,113.81728115686504,176.90768550761192,177.1522200262045
good_form,113.48681626377868,117.63989458805881,177.87465650129985,177.05601765271646
good_form,115.43701752156989,120.53074962059152,178.54584885146988,178.27168402036165
good_form,116.95836986357895,121.77682965146255,178.22935614592393,177.00657170835285
good_form,117.33980254168546,122.92162837112923,177.4515184134534,176.42304056252596
good_form,120.0319904184816,127.10737819522312,178.18594751201948,176.7984319709575
good_form,121.57989088996099,128.54976482815056,178.74096702250694,176.132069676154
good_form,125.43826760459406,133.60357314538638,179.3931118903299,176.60660026002859
good_form,128.92833571090702,136.61896234562874,178.66709641166617,176.03943282742435
good_form,132.29367747443263,138.31341184115624,178.390207070394,174.48421427681262
good_form,134.62982998226414,140.67467385511827,179.80160694670712,176.42225410604226
good_form,137.0922764901623,144.02300033246587,178.3024358477571,174.77362969083134
good_form,137.93667867492155,145.44541495727051,178.2666679745762,173.83858393706663
good_form,139.12688613426997,146.31064575829598,177.43572352273083,173.73732845122385
good_form,141.57320395206165,148.9851213181275,177.7786620689179,174.59464398381078
